x,y
0.001,0.0008873584
0.01730612,0.0234652087
0.03361224,0.0698755633
0.04991837,0.0343402528
0.06622449,0.0265204047
0.08253061,0.1592148027
0.09883673,0.1650783893
0.11514286,0.1240028738
0.13144898,0.0596455047
0.1477551,0.0552452656
0.16406122,0.1922147499
0.18036735,0.0305346235
0.19667347,0.1050614252
0.21297959,0.076275922
0.22928571,0.1524998027
0.24559184,0.0564525639
0.26189796,0.0959048838
0.27820408,0.119482688
0.2945102,0.0379757879
0.31081633,0.1923054736
0.32712245,0.183303215
0.34342857,0.094980184
0.35973469,0.0912946482
0.37604082,0.1452412815
0.39234694,0.1090217347
0.40865306,0.2394445515
0.42495918,0.1933050241
0.44126531,0.202679323
0.45757143,0.2090867442
0.47387755,0.2804643819
0.49018367,0.3679867385
0.5064898,0.153935256
0.52279592,0.1653358407
0.53910204,0.2970396128
0.55540816,0.3508910552
0.57171429,0.1824436007
0.58802041,0.1344558643
0.60432653,0.4186216605
0.62063265,0.3261179044
0.63693878,0.0558967727
0.6532449,0.2488526264
0.66955102,0.483436485
0.68585714,0.1486623573
0.70216327,0.0416329786
0.71846939,0.61453564
0.73477551,0.1978335852
0.75108163,0.1915292152
0.76738776,0.3220098859
0.78369388,0.453920294
0.8,0.1788958933
