"N","y","x","id"
8,0,2,1
8,1,2,2
8,2,2,3
8,4,2,4
8,1,2,5
8,0,2,6
8,0,2,7
8,7,2,8
8,1,2,9
8,6,2,10
8,0,2,11
8,0,2,12
8,0,2,13
8,0,2,14
8,0,2,15
8,1,2,16
8,3,2,17
8,5,2,18
8,3,2,19
8,7,2,20
8,2,3,21
8,1,3,22
8,0,3,23
8,6,3,24
8,1,3,25
8,2,3,26
8,0,3,27
8,0,3,28
8,0,3,29
8,3,3,30
8,5,3,31
8,5,3,32
8,0,3,33
8,0,3,34
8,0,3,35
8,8,3,36
8,4,3,37
8,2,3,38
8,0,3,39
8,8,3,40
8,6,4,41
8,2,4,42
8,0,4,43
8,5,4,44
8,6,4,45
8,2,4,46
8,8,4,47
8,2,4,48
8,7,4,49
8,7,4,50
8,8,4,51
8,0,4,52
8,4,4,53
8,7,4,54
8,3,4,55
8,1,4,56
8,3,4,57
8,2,4,58
8,8,4,59
8,0,4,60
8,7,5,61
8,4,5,62
8,2,5,63
8,3,5,64
8,3,5,65
8,7,5,66
8,8,5,67
8,7,5,68
8,0,5,69
8,7,5,70
8,8,5,71
8,8,5,72
8,8,5,73
8,6,5,74
8,7,5,75
8,4,5,76
8,5,5,77
8,1,5,78
8,8,5,79
8,2,5,80
8,1,6,81
8,1,6,82
8,0,6,83
8,8,6,84
8,8,6,85
8,8,6,86
8,8,6,87
8,8,6,88
8,8,6,89
8,8,6,90
8,8,6,91
8,0,6,92
8,6,6,93
8,3,6,94
8,3,6,95
8,7,6,96
8,5,6,97
8,7,6,98
8,2,6,99
8,8,6,100
