"Dose","Logdose","Positive","Total"
12023,4.08,4,5
23988,4.38,5,6
66069,4.82,2,6
93325,4.97,4,6
141254,5.15,5,6
257040,5.41,2,6
588844,5.77,4,6
851138,5.93,5,6
89125,4.95,1,6
446684,5.65,3,6
1047129,6.02,4,6
3890451,6.59,6,6
1e+07,7,6,6
23988329,7.38,6,6
44668359,7.65,6,6
67608298,7.83,8,8
158489,5.2,1,6
1258925,6.1,2,6
4677351,6.67,6,6
12023,4.08,0,6
23988,4.38,1,6
52481,4.72,2,6
95499,4.98,1,6
154882,5.19,4,6
724436,5.86,3,6
1148154,6.06,5,6
5495409,6.74,5,6
23988329,7.38,6,6
50118723,7.7,6,6
1e+06,6,5,6
5495409,6.74,6,6
1e+07,7,6,6
19952623,7.3,5,6
40738028,7.61,6,6
158489,5.2,5,6
1513561,6.18,3,5
7762471,6.89,6,6
1e+07,7,5,6
